Name,RayCount,MeanCorrelation
re2500_we10_raytraced_1,1,NaN
re2500_we10_raytraced_2,2,NaN
re2500_we10_raytraced_100,100,0.00653421235498995
re2500_we10_raytraced_200,200,0.013206021667921
re2500_we10_raytraced_400,400,0.0224318634675995
re2500_we10_raytraced_800,800,0.0344308995856396
re2500_we10_raytraced_1600,1600,0.0538378491549675
re2500_we10_raytraced_3200,3200,0.0789095501705215
re2500_we10_raytraced_5100,5100,0.099149315452179
re2500_we10_raytraced_6400,6400,0.111345790495293
re2500_we10_raytraced_10100,10100,0.137758546326499
re2500_we10_raytraced_12800,12800,0.153761151983508
re2500_we10_raytraced_15100,15100,0.164076455606281
re2500_we10_raytraced_20100,20100,0.18523156155326
re2500_we10_raytraced_25600,25600,0.201766418383162
re2500_we10_raytraced_51200,51200,0.253979735580477
re2500_we10_raytraced_102400,102400,0.305624723670398
re2500_we10_raytraced_204800,204800,0.349816878471169
re2500_we10_raytraced_409600,409600,0.364149799071668
re2500_we10_raytraced_819200,819200,0.147937835796387
